"timestamp","major","from_place","important_place","why","feel","worried","preferred_forum"
"2020/01/06 4:09:46 PM MST","Accounting","USA-West","Oceania","It's required for my major.","Excitement;Anxiety","2","Learning Suite ""Digital Dialog"""
"2020/01/06 4:09:46 PM MST","Accounting","USA-Utah","Europe","It's required for my major.","Excitement;Anxiety","2","Learning Suite ""Digital Dialog"""
"2020/01/06 4:09:46 PM MST","Experience Design","USA-West","South America","I'm interested in the subject.;A friend or advisor recommended it.","Excitement;Apprehension;Reluctance","2","Learning Suite ""Digital Dialog"""
"2020/01/06 4:09:48 PM MST","Information Systems","USA-West","Africa","I'm planning a career in IS or IT.","Apprehension","2","Slack"
"2020/01/06 4:09:50 PM MST","Marketing","Oceania","South America","It's required for my major.;I'm interested in the subject.","Confidence;Apprehension","2","Slack"
"2020/01/06 4:09:51 PM MST","Finance","USA-West","USA-East","It's required for my major.","Excitement;Confidence;Apprehension","4","Learning Suite ""Digital Dialog"""
"2020/01/06 4:09:51 PM MST","Experience Design","USA-Utah","Africa","It's required for my major.","Excitement;Apprehension;Anxiety;Dread","2","MS Teams"
"2020/01/06 4:09:52 PM MST","Supply Chain","USA-Utah","South America","It's required for my major.","Apprehension","3","Slack"
"2020/01/06 4:09:53 PM MST","Human Resources ","Asia","USA-Utah","It's required for my major.;It's a prerequisite for other classes I need to take.","Excitement;Anxiety","2","Learning Suite ""Digital Dialog"""
"2020/01/06 4:09:55 PM MST","Management","USA-Utah","Asia","It's a prerequisite for other classes I need to take.","Anxiety","2","Anonymous Google Doc"
"2020/01/06 4:09:55 PM MST","Accounting","USA-Utah","USA-East","It's required for my major.","Excitement;Apprehension","3","Learning Suite ""Digital Dialog"""
"2020/01/06 4:09:56 PM MST","Marketing","USA-Plains","Dagobah","It's required for my major.","Excitement;Reluctance","3","Slack"
"2020/01/06 4:09:59 PM MST","Experience Design","USA-West","Asia","It's required for my major.","Excitement;Apprehension;Reluctance","2","Google Groups"
"2020/01/06 4:10:00 PM MST","Human Resources","USA-Plains","Pemberley","It's required for my major.;I'm interested in the subject.","Excitement","4","Learning Suite ""Digital Dialog"""
"2020/01/06 4:10:02 PM MST","Management","USA-Utah","Middle Earth","It's required for my major.;I'm interested in the subject.;It's a prerequisite for other classes I need to take.","Excitement;Confidence;Apprehension","4","Slack"
"2020/01/06 4:10:03 PM MST","Marketing","USA-Utah","Europe","It's required for my major.","Anxiety","4","Learning Suite ""Digital Dialog"""
"2020/01/06 4:10:04 PM MST","Accounting","USA-Utah","USA-Plains","It's required for my major.;I'm interested in the subject.;It's a prerequisite for other classes I need to take.","Excitement","2","Learning Suite ""Digital Dialog"""
"2020/01/06 4:10:04 PM MST","Finance","USA-West","South America","It's required for my major.","Excitement;Confidence","3","Anonymous Google Doc"
"2020/01/06 4:10:07 PM MST","Experience Design","USA-West","South America","It's required for my major.","Anxiety","2","Learning Suite ""Digital Dialog"""
"2020/01/06 4:10:09 PM MST","Marketing","USA-West","Central America (not Mexico)","It's required for my major.","Excitement;Anxiety","3","Google Groups"
"2020/01/06 4:10:09 PM MST","Supply Chain","USA-West","Mars","It's required for my major.;I'm planning a career in IS or IT.;I'm interested in the subject.","Excitement;Apprehension","3","Learning Suite ""Digital Dialog"""
"2020/01/06 4:10:21 PM MST","Information Systems","USA-South","USA-Utah","I'm planning a career in IS or IT.;I'm interested in the subject.;It's a prerequisite for other classes I need to take.","Excitement","2","Learning Suite ""Digital Dialog"""
"2020/01/06 4:10:26 PM MST","Accounting","USA-West","Europe","It's required for my major.","Reluctance","4","Anonymous Google Doc"
"2020/01/06 4:11:07 PM MST","Management","Oceania","USA-Utah","It's required for my major.","Anxiety","2","Learning Suite ""Digital Dialog"""
"2020/01/06 4:25:48 PM MST","","","","","","","Learning Suite ""Digital Dialog"""
"2020/01/06 6:24:39 PM MST","Accounting","USA-West","Asia","It's required for my major.","Dread","2","Learning Suite ""Digital Dialog"""
"2020/01/12 8:44:22 PM MST","Strategy","USA-Plains","Africa","It's required for my major.;I'm interested in the subject.;I have no idea.","Excitement;Apprehension;Anxiety","2","Google Groups"
"2020/01/15 5:17:09 PM MST","Experience Design","USA-West","South America","It's required for my major.","Apprehension;Anxiety","2","Learning Suite ""Digital Dialog"""
